Time	RS0	RS1	L0R	L0G	L0B	
0	100	100	0	0	0	
0,1	100	100	0	0	0	
0,2	100	100	0	0	0	
0,3	100	100	0	0	0	
0,4	100	100	0	0	0	
0,5	100	100	0	0	0	
0,6	100	100	0	0	0	
0,7	100	100	0	0	0	
0,8	100	100	0	0	0	
0,9	100	100	0	0	0	
1	100	100	255 255	255	
1,1	100	100	255	255	255	
1,2	100	100	255	255	255	
1,3	100	100	255	255	255	
1,4	100	100	255	255	255	
1,5	100	100	255	255	255	
1,6	100	100	255	255	255	
1,7	100	100	255	255	255	
1,8	100	100	255	255	255	
1,9	100	100	255	255	255	
2	100	100	255	255	255	
2,1	100	100	255	255	255	
2,2	100	100	255	255	255	
2,3	100	100	255	255	255	
2,4	100	100	255	255	255	
2,5	100	100	255	255	255	
2,6	100	100	255	255	255	
2,7	100	100	255	255	255	
2,8	100	100	255	255	255	
2,9	100	100	255	255	255	
3	100	100	255	255	255	
3,1	0	0	255	255	255	
3,2	0	0	255	255	255	
3,3	0	0	255	255	255	
3,4	0	0	255	255	255	
3,5	0	0	255	255	255	
3,6	0	0	255	255	255	
3,7	0	0	255	255	255	
3,8	0	0	255	255	255	
3,9	0	0	255	255	255	
4	0	0	255	255	255	
4,1	0	0	255	255	255	
4,2	0	0	255	255	255	
4,3	0	0	255	255	255	
4,4	0	0	255	255	255	
4,5	0	0	255	255	255	
4,6	0	0	255	255	255	
4,7	0	0	255	255	255	
4,8	0	0	255	255	255	
4,9	0	0	255	255	255	
5	0	0	255	255	255	
5,1	0	0	255	255	255	
5,2	0	0	255	255	255	
5,3	0	0	255	255	255	
5,4	0	0	255	255	255	
5,5	0	0	255	255	255	
5,6	0	0	255	255	255	
5,7	0	0	255	255	255	
5,8	0	0	255	255	255	
5,9	0	0	255	255	255	
6	0	0	255	255	255	
6,1	0	0	255	255	255	
6,2	0	0	255	255	255	
6,3	0	0	255	255	255	
6,4	0	0	255	255	255	
6,5	0	0	255	255	255	
6,6	0	0	255	255	255	
6,7	0	0	255	255	255	
6,8	0	0	255	255	255	
6,9	0	0	255	255	255	
7	0	0	255	255	255	
7,1	0	0	250	255	255	
7,2	0	0	250	255	255	
7,3	0	0	250	255	255	
7,4	0	0	250	255	255	
7,5	0	0	250	255	255	
7,6	0	0	250	255	255	
7,7	0	0	250	255	255	
7,8	0	0	250	255	255	
7,9	0	0	250	255	255	
8	0	0	250	255	255	
